day_ar,fism_pred,fism_wv
2007043,"[  3.65310952e-05   3.66704116e-05   3.70238595e-05 ...,  -1.10232286e-04
  -1.10310357e-04  -1.10388413e-04]",9.64999985695
2007044,"[  2.86610139e-05   2.87782077e-05   2.90747121e-05 ...,  -1.03975690e-04
  -1.04037375e-04  -1.04099068e-04]",9.75
2007045,"[  3.11558724e-05   3.12944940e-05   3.16461555e-05 ...,  -1.48648469e-04
  -1.48726162e-04  -1.48803854e-04]",9.84999990463
2007046,"[  1.88988361e-05   1.89879993e-05   1.92140451e-05 ...,  -7.74441360e-05
  -7.74927030e-05  -7.75412773e-05]",9.95000004768
2007047,"[  3.19528917e-05   3.20904073e-05   3.24402063e-05 ...,  -1.08069886e-04
  -1.08149645e-04  -1.08229404e-04]",10.0500001907
2007048,"[  2.37262830e-05   2.38313569e-05   2.40982608e-05 ...,  -1.03360973e-04
  -1.03420825e-04  -1.03480670e-04]",10.1500000954
2007049,"[  2.78205716e-05   2.79462820e-05   2.82646379e-05 ...,  -1.25993058e-04
  -1.26060957e-04  -1.26128842e-04]",10.25
2007050,"[  4.18417731e-05   4.20116885e-05   4.24409263e-05 ...,  -1.54387526e-04
  -1.54474736e-04  -1.54561931e-04]",10.3500003815
2007051,"[  2.24520845e-05   2.25557524e-05   2.28203116e-05 ...,  -1.07156477e-04
  -1.07220920e-04  -1.07285363e-04]",10.4500002861
2007052,"[  2.35146599e-05   2.35981333e-05   2.38093653e-05 ...,  -6.77893840e-05
  -6.78339929e-05  -6.78786091e-05]",10.5500001907
2007053,"[  1.60628570e-05   1.61250318e-05   1.62819379e-05 ...,  -5.97131293e-05
  -5.97444669e-05  -5.97758080e-05]",10.6500000954
2007054,"[  1.24425569e-05   1.25010201e-05   1.26490713e-05 ...,  -5.60106564e-05
  -5.60420012e-05  -5.60733424e-05]",10.75
2007055,"[  1.70004441e-05   1.70984331e-05   1.73473818e-05 ...,  -1.22331010e-04
  -1.22387239e-04  -1.22443482e-04]",10.8500003815
2007056,"[  1.18011612e-05   1.18640892e-05   1.20254008e-05 ...,  -6.12208823e-05
  -6.12625445e-05  -6.13041993e-05]",10.9500002861
2007057,"[  1.03326820e-05   1.03824750e-05   1.05088693e-05 ...,  -5.02875591e-05
  -5.03155134e-05  -5.03434676e-05]",11.0500001907
2007058,"[  2.35304215e-05   2.36152919e-05   2.38296270e-05 ...,  -7.01464014e-05
  -7.01898025e-05  -7.02331963e-05]",11.1500000954
2007059,"[  1.47241162e-05   1.47836581e-05   1.49338302e-05 ...,  -5.22922492e-05
  -5.23219787e-05  -5.23517119e-05]",11.25
2007060,"[  1.72931796e-05   1.73579483e-05   1.75206605e-05 ...,  -5.42791822e-05
  -5.43087153e-05  -5.43382484e-05]",11.3500003815
2007061,"[  1.77231668e-05   1.77854636e-05   1.79423514e-05 ...,  -5.35006766e-05
  -5.35310537e-05  -5.35614272e-05]",11.4500002861
2007062,"[  1.60371455e-05   1.60946274e-05   1.62395772e-05 ...,  -4.88157420e-05
  -4.88440892e-05  -4.88724327e-05]",11.5500001907
2007063,"[  2.18542991e-05   2.19368576e-05   2.21453029e-05 ...,  -7.11266694e-05
  -7.11683169e-05  -7.12099645e-05]",11.6500000954
